Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.869596629,5.988191409,6.340004777,-0.705945013,2.955723263,0.912239756,3.301222314,2.967270225,1.085766712,0.501331759,-1.500562883,-9.852379586,6.668094149,4.548098861,2.334529134,2.582726607,4.297635526,-1.104302391,-1.422952385,3.731399883,3.217504946,-0.176125519,-7.106802127
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.126244355,0.946934735,1.684766246,0.648831716,2.955336965,3.019822503,3.393288675,5.264801619,7.44949046,5.894393408,10.30927167,7.280709051,5.753145177,-6.212682285,3.67023401,4.984993302,-2.545782774,-0.740177962,5.341234352,4.679780534,2.029579241,4.335335334,4.284224715,1.884720791,-4.016038756
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.252948739,-0.468613002,-0.385777162,3.18091007,-0.506244342,-1.973877621,0.142008359,1.381880975,0.538181727,1.108524598,3.835038667,1.218081437,-0.37412076,0.284741024,4.416468787,4.502128906,3.469874723,2.642452374,-8.715367514,6.289066926,6.423393133,-1.154445754,2.166180384,0.733626982,-0.195214555,2.254301594,4.147875196,5.515275607,2.107376428,-4.601282054
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,4.867407924,12.37643131,7.5933061,1.401128237,0.055313265,7.647083838,2.684311886,4.062593173,3.796778099,1.901963403,9.916900412,-2.169488831,-7.116795735,5.663893336,-21.81209999,3.941418784,5.871325964,7.262456937,9.111380254,8.191019643,6.283486469,-14.68419961,-0.765201358,7.058157801,4.753114177,5.790019381,4.224003176,8.270365239,8.716840298,1.667550948,7.364553383,9.248728776,7.636800283,4.480971039,8.365895775,6.638805311,7.588992951,4.222762473,1.089198931,4.280403451,1.711943615,0.226697475,1.893210484,3.80898323,1.457166577,3.976342775,0.494613947,1.516526944,-2.775275018,3.056834207,2.865722843,4.792221643,4.314495051,0.482201171,0.916182404,-0.245197491,-0.525642251,3.880428752,-0.19993638,-3.664864749
China,,-41.90000001,-10.59999997,14.49999999,25.50000002,24.00000002,22.19999999,-14.3,-9.200000027,33.00000004,34.59999998,12.4,6.700000016,8.300000003,1.400000002,15.69999998,-2.399999996,13.20000001,15.2960144,8.22470013,13.48960714,1.883293893,5.575464624,10.38389387,14.42346389,18.40017715,10.21821277,13.59537087,14.33917171,3.74883613,3.174669461,13.78537046,21.03404567,19.74461989,18.14166359,13.82515974,12.09219828,10.47803069,8.903053633,8.203147969,9.473841434,8.491270534,9.894748775,12.66723649,11.14592233,12.12839131,13.45069554,15.05071426,9.838989907,10.29280498,12.6835957,10.6886752,8.363640405,7.987214292,7.155565422,5.926763763,6.03148306,5.868289508,5.792406827,4.874543817,2.6
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.885672865,-4.003464738,-7.649659258,-1.430141837,28.83545941,4.502016543,8.295765745,5.325894948,15.41643965,10.65254386,10.41036818,
Cameroon,,,,,,,5.268365905,1.299073915,12.04056309,6.534268452,-1.303178149,12.05707464,-3.426746571,4.182621101,5.420501531,3.652535209,7.676607159,18.33702675,10.44205544,43.65964504,8.856509198,30.67980832,17.99094011,18.34355724,4.920630684,8.639538002,6.091910738,0.514444971,-7.086134382,-2.301119601,-6.800000274,-6.599996729,-10.40000144,-9.941228516,-2.968386725,-3.31007669,-1.176675681,-1.895446822,8.462943951,7.624160749,2.991741227,0.928841152,7.943027266,0.221320795,1.887337043,15.665834,5.824397799,3.174547663,2.39491521,-0.426430703,-1.213143583,3.365402061,5.110233064,6.891534964,5.519475359,9.554464702,3.563084909,1.254185305,3.098933006,4.912537979,3.392061095
"Congo, Dem. Rep.",,,,,,,,,,13.83324368,18.97992429,7.099332911,0.284018578,9.119908046,6.530513051,-4.410328697,-8.875703225,-2.007115973,-7.854955734,-6.850871568,4.850306663,0.492228465,-3.376206535,3.954592302,12.49585162,0.312373763,4.832294819,0.931082665,-1.926674307,-4.38679049,-18.9090184,-19.87818078,-29.92398276,-14.49704272,-2.076121719,-10.36513636,5.876742114,-19.83930946,-2.0367379,5.916667156,10.61193358,-8.068686601,5.077167171,2.422786548,5.749514173,14.22843926,2.597636021,4.471896575,4.453670601,1.569790033,28.66857557,15.65797081,8.957015369,10.45098692,14.62601452,5.911433929,0.495506135,7.73646372,12.1165112,4.107076864,2.827497981
"Congo, Rep.",,13.8758354,4.941690066,-4.036236412,3.50492046,10.15807968,5.533075411,26.21414575,0.558958644,3.575091269,15.25751998,0.982978552,6.782757162,14.52155604,24.8849654,26.37392615,9.841570584,-19.97865568,4.471748005,24.48702568,24.75253314,-3.798453534,40.73228151,17.47967481,8.581314848,-4.843849583,-8.626255865,1.589931166,2.977126798,10.35903348,4.443183959,0.339037778,3.087767595,4.846940543,-3.124043668,5.077338404,6.418233925,12.45618209,5.640611364,3.159227992,2.951334381,-3.128131398,1.371711261,-3.771073645,2.051636698,11.29433025,8.694002449,-16.26179158,10.65843069,15.96970913,13.18830149,-2.145001266,7.211157141,-3.627360104,6.472919793,-6.258984892,-21.9244999,4.049587965,-8.526778173,0.285972636,-7.687038436
Colombia,,,,,,,3.13130241,7.436922896,5.036266594,7.799348534,5.00265906,7.091798561,10.03697493,9.671400942,5.277221109,0.139593909,4.428674017,1.474835568,7.611416726,5.289049245,3.559768077,-0.906403941,-0.404550161,3.39756697,6.880135299,5.963779989,10.32323684,6.101219818,3.753892516,4.622556566,2.449068355,2.722689754,-0.44432147,4.236395276,3.647792788,5.543018103,-2.686431014,1.335912535,0.707501024,-7.230100902,3.175887204,0.805278701,2.848429953,4.832421512,6.203283934,4.275975903,7.09972254,6.07253886,3.813530101,0.993091537,3.260214205,7.231806359,3.035928203,4.712534891,3.387839747,2.093281264,1.705664248,-2.154021053,0.289157469,0.623685231,-13.56581064
Comoros,,,,,,,,,,,,,,,,,,,,,,3.866103417,6.383855025,4.819976771,4.108956602,2.283813747,1.864296553,1.638646521,2.688442211,-3.180817225,5.092241597,-5.394573364,8.527854268,3.005699118,-5.275125057,3.608577372,-1.289674878,4.029103427,1.282244115,1.92314832,10.85127308,2.333070452,2.321623531,2.105758669,1.920949103,2.834655167,2.648016187,1.265569649,5.898947725,-1.899408599,14.00135777,3.099020986,1.499468601,5.501809656,-2.800552343,-0.153163152,4.704208444,-2.651973586,1.696911534,2.768388453,
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,11.96419987,-1.115938253,20.29466612,-1.216715416,15.71647378,2.04511404,11.44094699,3.215408054,10.4587035,1.098038813,2.935954118,15.52768653,3.669906015,18.90408086,7.511181033,14.49810475,1.094045086,11.57262059,2.239022063,8.055817969,-8.856556886,6.036638903,1.188913809,7.270061224,11.17254761,7.840790176,13.84105309,18.41966501,-5.418271945,-3.662802211,1.26938633,-3.21380981,2.451370198,6.625102769,-2.42199495,2.91532764,11.91473759,8.050252984,7.461901696,-1.995595449
Costa Rica,,-1.052804738,8.445552785,9.627472022,6.222905887,19.5892575,7.904007045,7.049581718,13.05632326,6.187305066,8.898944193,10.01603732,12.47680891,8.518409426,11.55746159,3.547445255,8.731613328,10.53291265,7.546727145,5.926410704,1.160156518,-4.203990228,-13.48422059,4.081716204,11.28505684,1.495122296,6.543618318,5.06635288,1.925709308,4.825565424,2.27405078,0.985053382,11.2736892,6.154696985,3.769707689,4.413276898,-3.85090347,7.533509556,8.667597057,2.351203899,3.811775356,3.548770708,2.589447315,2.779955792,4.592220642,3.150122208,6.276529612,7.169883231,1.328490136,-5.239794438,2.815558111,2.911055945,3.816511817,-3.634439668,0.953793876,1.015036862,2.84795581,1.83859238,1.928207165,-0.839979536,-1.353417747
